"","unemployment_rate","percent_poverty","no_health_insurance","ed_percent_highschool","has_internet","percent_single_parent","percent_less_35k","state_county_fips","weighted_unemployment_rate","weighted_percent_poverty","weighted_no_health_insurance","weighted_ed_percent_highschool","weighted_has_internet","weighted_percent_single_parent","weighted_percent_less_35k"
"1837",0.06,0.089,0.043,0.082,0.863,0.065,0.339,36017,0.0207486441255792,0.0411564859590714,0.0120487148368968,-0.0272167537116472,-0.38724760150396,0.0129617977532023,0.16495584466465
"1838",0.044,0.104,0.039,0.109,0.879,0.055,0.304,36019,0.0152156723587581,0.0480929723566678,0.0109279041543948,-0.036178367738653,-0.394427163061391,0.0109676750219404,0.147925005244996
"1839",0.049,0.073,0.046,0.155,0.895,0.062,0.259,36021,0.0169447260358897,0.0337575671349687,0.0128893228487733,-0.0514463027476258,-0.401606724618823,0.0123635609338237,0.12602821170544
"1840",0.053,0.085,0.032,0.123,0.871,0.054,0.299,36023,0.018327968977595,0.0393067562530458,0.00896648546001623,-0.0408251305674708,-0.390837382282676,0.0107682627488142,0.145492028185045
"1841",0.047,0.115,0.051,0.1,0.846,0.078,0.363,36025,0.016253104565037,0.0531797290482384,0.0142903362019009,-0.0331911630629844,-0.379619317349189,0.0155541573038428,0.176634134552413
"1842",0.05,0.06,0.047,0.16,0.922,0.048,0.217,36027,0.017290536771316,0.0277459455903852,0.0131695255193988,-0.0531058609007751,-0.413722234746989,0.00957178911005708,0.105591204401855
"1843",0.043,0.098,0.032,0.149,0.878,0.054,0.315,36029,0.0148698616233318,0.0453183777976292,0.00896648546001623,-0.0494548329638468,-0.393978440464052,0.0107682627488142,0.153277554776887
"1844",0.05,0.066,0.036,0.118,0.878,0.071,0.291,36031,0.017290536771316,0.0305205401494238,0.0100872961425183,-0.0391655724143216,-0.393978440464052,0.0141582713919594,0.141599264889124
"1845",0.07,0.119,0.051,0.092,0.836,0.071,0.35,36033,0.0242067514798424,0.0550294587542641,0.0142903362019009,-0.0305358700179457,-0.375132091375794,0.0141582713919594,0.170308394196541
"1846",0.051,0.108,0.048,0.084,0.864,0.073,0.351,36035,0.0176363475067423,0.0499427020626934,0.0134497281900243,-0.0278805769729069,-0.3876963241013,0.0145570959382118,0.170794989608531
"1847",0.041,0.068,0.035,0.09,0.876,0.058,0.292,36037,0.0141782401524791,0.0314454050024366,0.00980709347189275,-0.029872046756686,-0.393080995269373,0.011565911841319,0.142085860301114
"1848",0.039,0.104,0.042,0.097,0.84,0.086,0.348,36039,0.0134866186816265,0.0480929723566678,0.0117685121662713,-0.0321954281710949,-0.376926981765152,0.0171494554888523,0.169335203372561
"1849",0.036,0.032,0.061,0.078,0.829,0.098,0.3,36041,0.0124491864753475,0.0147978376482055,0.0170923629081559,-0.0258891071891278,-0.371991033194418,0.0195424027663665,0.145978623597035
"1850",0.059,0.084,0.05,0.093,0.864,0.064,0.318,36043,0.0204028333901529,0.0388443238265393,0.0140101335312754,-0.0308677816485755,-0.3876963241013,0.0127623854800761,0.154737341012857
"1851",0.062,0.098,0.053,0.089,0.906,0.048,0.321,36045,0.0214402655964319,0.0453183777976292,0.0148507415431519,-0.0295401351260561,-0.406542673189557,0.00957178911005708,0.156197127248828
"1852",0.062,0.159,0.073,0.15,0.875,0.039,0.331,36047,0.0214402655964319,0.0735267558145209,0.020454794955662,-0.0497867445944766,-0.392632272672034,0.00777707865192138,0.161063081368729
